"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","rep_4","rep_5","mean","sd"
1,0,1,0,0,0,0,0,0.0289837543282552,0.0197992237015371,0.0201066664569834,0.0220276348394575,0.0201808630425703,0.0222196284737607,0.00388168109072013
1,0,1,0,0,0,0,1,0.0382094893307841,0.0310749171364699,0.0282847390345278,0.0338954901358154,0.0310118615342709,0.0324952994343736,0.00376029895517141
1,0,1,0,0,0,1,0,0.0248066885341547,0.019680580895426,0.0241054482362372,0.0215887095294124,0.0189766771989222,0.0218316208788305,0.00259123526307323
1,0,1,0,0,0,1,1,0.0337025937145085,0.0353294055231789,0.0317184423693771,0.0325444083831073,0.0281047508676817,0.0322799201715707,0.00269910221055
1,0,1,0,0,1,0,0,0.0436175335568534,0.0373057713535323,0.0375824090153785,0.0372977153888067,0.0325360339847063,0.0376678926598554,0.00393731097231668
1,0,1,0,0,1,0,1,0.0424073837255788,0.046953331940005,0.0387469758788822,0.0385178579775629,0.037465212271644,0.0408181523587346,0.00390478611162511
1,0,1,0,0,1,1,0,0.0398574009361967,0.0460637651759536,0.0424354900304155,0.0384109587657504,0.0320509912176076,0.0397637212251848,0.0051998521291455
1,0,1,0,0,1,1,1,0.046558132791125,0.0448065561663754,0.0438733891821564,0.0393762852406478,0.0380826379939019,0.0425394002748413,0.00363791698734105
1,0,1,0,1,0,0,0,0.0543487917283747,0.0373905651619971,0.0372235793142623,0.0443942570232519,0.0473200684019299,0.0441354523259632,0.00720743630835559
1,0,1,0,1,0,0,1,0.0543229658356705,0.0479823899487411,0.041213869916477,0.0476445264567282,0.0472161538865162,0.0476759812088266,0.00464347940309529
1,0,1,0,1,0,1,0,0.0464107170867882,0.0381936939502615,0.0440851541778264,0.0403383269207622,0.0414028048320699,0.0420861393935416,0.00321601299843968
1,0,1,0,1,0,1,1,0.0569531823337161,0.0503884794815231,0.0494869930314898,0.0466153186430557,0.0454490877287255,0.049778612243702,0.00449117592393397
1,0,1,0,1,1,0,0,0.0570762571918566,0.0546115484467232,0.0494466287918232,0.0479029195729759,0.0448666938334195,0.0507808095673597,0.00498363008334978
