"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","mean","sd"
1,0,0,0,1,1,1,0,0.0374255772080741,0.0297869402502709,0.0260780047443456,0.0310968407342302,0.00578608068240497
1,0,0,0,1,1,1,1,0.0444853016463111,0.042040279907556,0.0426428894208256,0.0430561569915642,0.00127382313902462
1,0,0,1,0,0,0,0,0.0156640501486649,0.0158465136252079,0.0178460085568593,0.0164521907769107,0.00121052436276339
1,0,0,1,0,0,0,1,0.0363464358899409,0.0375519711600354,0.028511665256635,0.0341366907688705,0.00490856525186691
1,0,0,1,0,0,1,0,0.016871016190463,0.0176696380199149,0.0181612151662942,0.017567289792224,0.000651160286790118
1,0,0,1,0,0,1,1,0.0336214761370248,0.0351232755581008,0.0338730928784634,0.0342059481911963,0.000804328831820014
1,0,0,1,0,1,0,0,0.0261370549646424,0.0222016584366283,0.0242160951375462,0.0241849361796056,0.00196788328380301
1,0,0,1,0,1,0,1,0.0352403036294848,0.0382294440391335,0.0326435943861738,0.035371114018264,0.00279522138742657
1,0,0,1,0,1,1,0,0.0333776716082463,0.025371560883052,0.030484070922214,0.0297444344711707,0.00405397937782147
1,0,0,1,0,1,1,1,0.040429565250884,0.0387582928786093,0.0349187990822442,0.0380355524039125,0.00282557981424698
1,0,0,1,1,0,0,0,0.0387269241108382,0.0391879936457572,0.0348799973021172,0.0375983050195709,0.00236538451717342
1,0,0,1,1,0,0,1,0.0486811331038028,0.0534688671938516,0.0428251465071238,0.048325048934926,0.00533078741517261
1,0,0,1,1,0,1,0,0.0411410901093398,0.0463451383304366,0.0379563642071569,0.0418141975489777,0.00423470046660017
1,0,0,1,1,0,1,1,0.0504062249411646,0.0532728351726875,0.04544835646167,0.0497091388585074,0.00395854310697352
1,0,0,1,1,1,0,0,0.0441072261647718,0.0422897139871745,0.0387695607683098,0.0417221669734187,0.0027137151989043
1,0,0,1,1,1,0,1,0.0524409666128587,0.0571038910133806,0.0429393544220218,0.0508280706827537,0.00721869788625328
1,0,0,1,1,1,1,0,0.0456685566707562,0.0447759467513627,0.0393610847316824,0.0432685293846004,0.00341325078243066
1,0,0,1,1,1,1,1,0.0508996641148344,0.0530768807753855,0.0432237647994662,0.049066769896562,0.00517596363204586
1,0,1,0,0,0,0,0,0.0249872867594533,0.0269462014553585,0.0213015282464663,0.0244116721537594,0.00286602216312306
1,0,1,0,0,0,0,1,0.0343286267546002,0.0344173337514339,0.031349966956325,0.0333653091541197,0.0017459010176642
